id,code,name,unit,cost,rate,price,WPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,15132502947437,ITEL A42PLUS,1,5609,NULL,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,15132502947445,LAVA A44,1,4008.9952,3579.46,4600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,15132502947455,IPIPOO A500HI,1,519.2,440,699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,15132502947464,POUCH A6600LOOPAD,1,30,30,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,15132502947472,POUCH A7000PRINTED,1,30,30,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,15132502947481,LAVA A76+,1,5432,4850,5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1513250294749,LAVA A77,1,4445,3968.75,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,15132502947499,LAVA A79IPS,1,4819.9984,4303.57,6499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,15132502947507,LAVA A97 2GB+16GB,1,7056,NULL,7190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,15132502947523,LAVA A97IPS,1,4819,4900.25,5990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,15132502947532,INTEX AQUAA4+,1,3808.9968,3400.89,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,15132502947542,INTEX AQUALIONS2,1,4900,4375,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,15132502947552,INTEX AQUALIONS3,1,6188.9968,5525.89,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,15132502947562,LAVA ARC101,1,1066,NULL,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,15132502947571,LAVA ARC105,1,1008,900,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1513250294758,LAVA ARCMAGIC+,1,896,800,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,15132502947589,LAVA ARC SELFIE,1,1243.2,NULL,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,15132502947603,KARBON AURA4G,1,5936,5300,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,15132502947613,KARBONN AURASLEEK,1,5192.3424,4636.02,5600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,15132502947622,BLUE I  NYLON AUXCABL,1,26,22,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,15132502947631,SELVEL NYLON AUXCABLE,1,38,38,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1513250294764,SELVEL AUXCABLENORMAL,1,30,30,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,15132502947657,SAMSUNG GURU MUSIC 2 B310,1,1575,NULL,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,15132502947666,3G GOLD BLUETOOTH BH04,1,566,480,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,15132502947675,BLUE I BI07,1,76.7,65,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,15132502947683,INTEX BLADE,1,1344,1200,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,15132502947692,BELL IP 5S DATA CABLE BLCB141,1,85,85,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,15132502947701,MUSIC BLUETOOTHMINISPEAKER HIGH,1,250,NULL,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1513250294771,INBASE BLUETOOTH BT2505,1,578,490,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,15132502947719,MOTO C,1,5785,5165.18,6499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,15132502947729,CELKON C2233,1,1099,981.25,1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1513250294774,CELKON C249,1,1225,1093.75,1699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,15132502947748,CELKON C26,1,1232,1100,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,15132502947757,CELKON C325,1,956.9952,854.46,1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,15132502947766,CELKON C327,1,609.9968,544.64,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,15132502947775,CELKON C410C310,1,1736,1550,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,15132502947783,CELKON C419+C319,1,1550.08,1384,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,15132502947792,PHONOKARTTEMPER GLASS C9PRO9H+,1,80,80,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,15132502947801,LAVA CAPTAIN9S,1,849,758.04,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1513250294781,LAVA CAPTAINK7,1,974.4,870,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,15132502947818,LAVA CAPTAINN1,1,765,650,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,15132502947827,LAVA CAPTIANK1PLUS,1,1008,900,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,15132502947836,3G GOLD CB26,1,120,120,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,15132502947845,3G GOLD CB29V8DATACABLE,1,80,80,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,15132502947855,OPPO F3 CPH1609,1,16185,NULL,19200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,15132502947864,SYSKA V8 DATA CABLE CC02,1,177,150,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,15132502947872,BLUE I  CAR CHARGER CC11,1,210,210,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,15132502947881,SLX CHARGER CC5IN1,1,80,80,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1513250294789,BONE CHAMP,1,40,40,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,15132502947899,CELKON CLIQ,1,6999.0032,6249.11,8100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,15132502947908,TEMPER GLASS COOLPAD2.5TG,1,20,20,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,15132502947917,TEMPER GLASS COOLPADMEGA3TG,1,20,20,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,15132502947926,TEMPER GLASS COOLPADNOTE,1,20,20,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,15132502947935,TEMPER GLASS COOLPADNOTE5TG,1,20,20,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,15132502947944,OPPO A57 CPH1701,1,13325,11897.32,14200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,15132502947952,OPPO A71 CPH1717,1,9515,11049.11,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,15132502947961,OPPO F5 CPH1723,1,19040,17000,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1513250294797,IBALL CURVY,1,1232,NULL,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,15132502947988,MAJOR DATACABLE,1,40,40,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,15132502947997,BLUE I I PHONE DATACABLE2A,1,67,57,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
