Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Code,Tax Method,track quantit,type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
1136,Half Back[or]Front,WOMEN,1,0,770,770,,,Nos,GST18,INCLUSIVE,,service,D-tan (W),,,,,,,
1137,Full Back [or]Front,WOMEN,1,0,1000,1000,,,Nos,GST18,INCLUSIVE,,service,D-tan (W),,,,,,,
1138,Full body ,MEN/WOMEN,1,0,4100,4100,,,Nos,GST18,INCLUSIVE,,service,D-tan (MW),,,,,,,
1139,Face &Neck,WOMEN,1,0,490,490,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1140,Face Neck & blouseline,WOMEN,1,0,555,555,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1141,upper lip,WOMEN,1,0,80,80,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1142,Under Arms,WOMEN,1,0,170,170,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1143,Half  Arms,WOMEN,1,0,275,275,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1144,Full Arms,WOMEN,1,0,530,530,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1145,Half legs,WOMEN,1,0,522,522,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1146,Full legs,WOMEN,1,0,860,860,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1147,Feet,WOMEN,1,0,275,275,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1148,Half Back[or]Front,WOMEN,1,0,660,660,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1149,Full Back [or]Front,WOMEN,1,0,860,860,,,Nos,GST18,INCLUSIVE,,service,Cream bleach,,,,,,,
1150,Body Polish,WOMEN,1,0,4000,4000,,,Nos,GST18,INCLUSIVE,,service,Body polish,,,,,,,
1151,Body Wrap,WOMEN,1,0,1800,1800,,,Nos,GST18,INCLUSIVE,,service,Body polish,,,,,,,
1152,Full Arms Polish,WOMEN,1,0,1055,1055,,,Nos,GST18,INCLUSIVE,,service,Body polish,,,,,,,
1153,Full Back Polish,WOMEN,1,0,1100,1100,,,Nos,GST18,INCLUSIVE,,service,Body polish,,,,,,,
1154,Back & Neck ,MEN/WOMEN,1,0,700,700,,,Nos,GST18,INCLUSIVE,,service,Reflexology (MW),,,,,,,
1155,Full Hand ,MEN/WOMEN,1,0,450,450,,,Nos,GST18,INCLUSIVE,,service,Reflexology (MW),,,,,,,
