Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Name,Tax Method,Track Quantity,Type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
F1035,Nutritive Plus Treatment-Normal to Dull Hair (S),WOMEN,1,0,1500,1745,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1036,Nutritive Plus Treatment-Normal to Dull Hair (M),WOMEN,1,0,1700,1945,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1037,Nutritive Plus Treatment-Normal to Dull Hair (L),WOMEN,1,0,2050,2295,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1038,Absolut Repair Plus Treatment-Dry to Damaged Hair (S),WOMEN,1,0,1500,1745,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1039,Absolut Repair Plus Treatment-Dry to Damaged Hair (M),WOMEN,1,0,1700,1945,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1040,Absolut Repair Plus Treatment-Dry to Damaged Hair (L),WOMEN,1,0,2050,2050,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1041,Intense Smoothening Plus-Treatment (S),WOMEN,1,0,1500,1745,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1042,Intense Smoothening Plus-Treatment (M),WOMEN,1,0,1700,1945,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1043,Intense Smoothening Plus-Treatment (L),WOMEN,1,0,2050,2295,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1044,Colour Radiance Plus-Treatment(S),WOMEN,1,0,1500,1745,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1045,Colour Radiance Plus-Treatment(M),WOMEN,1,0,1700,1945,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1046,Colour Radiance Plus-Treatment(L),WOMEN,1,0,2050,2295,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1047,Anti-Breakage & Strengthening Plus-Treatment (S),WOMEN,1,0,1500,1745,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1048,Anti-Breakage & Strengthening Plus-Treatment (M),WOMEN,1,0,1700,1945,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1049,Anti-Breakage & Strengthening Plus-Treatment (L),WOMEN,1,0,2050,2295,0,999721,Nos,GST18,inclusive,0,service,HAIR & SCALP TREATMENTS(FEMALE),,,,,,,
F1050,Global Colouring (S),WOMEN,1,0,1755,1935,0,999721,Nos,GST18,inclusive,0,service,HAIR COLOURING (FEMALE),,,,,,,
F1051,Global Colouring (M),WOMEN,1,0,2745,3025,0,999721,Nos,GST18,inclusive,0,service,HAIR COLOURING (FEMALE),,,,,,,
F1052,Global Colouring (L),WOMEN,1,0,3685,4060,0,999721,Nos,GST18,inclusive,0,service,HAIR COLOURING (FEMALE),,,,,,,
F1053,Root Touch-Up [REGULAR](max1.5inch),WOMEN,1,0,1040,1150,0,999721,Nos,GST18,inclusive,0,service,HAIR COLOURING (FEMALE),,,,,,,
F1054,Premium Colouring [GLOBAL]AMMONIA FREE (S),WOMEN,1,0,2735,3250,0,999721,Nos,GST18,inclusive,0,service,PREMIUM HAIR COLORING -AMMONIA FREE (FEMALE),,,,,,,
F1055,Premium Colouring [GLOBAL]AMMONIA FREE (M),WOMEN,1,0,3435,3975,0,999721,Nos,GST18,inclusive,0,service,PREMIUM HAIR COLORING -AMMONIA FREE (FEMALE),,,,,,,
F1056,Premium Colouring [GLOBAL]AMMONIA FREE (L),WOMEN,1,0,4135,5025,0,999721,Nos,GST18,inclusive,0,service,PREMIUM HAIR COLORING -AMMONIA FREE (FEMALE),,,,,,,
F1057,Root Touch-Up [max-1.5 inch],WOMEN,1,0,1265,1430,0,999721,Nos,GST18,inclusive,0,service,PREMIUM HAIR COLORING -AMMONIA FREE (FEMALE),,,,,,,
F1058,Streaks (PER- STREAKS),WOMEN,1,0,305,355,0,999721,Nos,GST18,inclusive,0,service,FASHION STREAKS(FEMALE),,,,,,,
F1059,Advance Streaks (PRE STREAKS) [INCLUES PRE-LIGHTENING],WOMEN,1,0,520,595,0,999721,Nos,GST18,inclusive,0,service,FASHION STREAKS(FEMALE),,,,,,,
F1060,PREMIUM STRAIGHTNING Smoothening(S),WOMEN,1,0,4290,5680,0,999721,Nos,GST18,inclusive,0,service,TEXTURE(FEMALE),,,,,,,
F1061,PREMIUM STRAIGHTNING Smoothening(M),WOMEN,1,0,7260,8360,0,999721,Nos,GST18,inclusive,0,service,TEXTURE(FEMALE),,,,,,,
F1062,PREMIUM STRAIGHTNING Smoothening(L),WOMEN,1,0,9535,11235,0,999721,Nos,GST18,inclusive,0,service,TEXTURE(FEMALE),,,,,,,
F1063,Premium Rebonding (S),WOMEN,1,0,7565,8705,0,999721,Nos,GST18,inclusive,0,service,TEXTURE(FEMALE),,,,,,,
F1064,Premium Rebonding (M),WOMEN,1,0,9535,10975,0,999721,Nos,GST18,inclusive,0,service,TEXTURE(FEMALE),,,,,,,
F1065,Premium Rebonding (L),WOMEN,1,0,12560,14380,0,999721,Nos,GST18,inclusive,0,service,TEXTURE(FEMALE),,,,,,,
F1066,Herbal Face Clean-Up ,WOMEN,1,0,575,645,0,999721,Nos,GST18,inclusive,0,service,CLEAN UP (FEMALE),,,,,,,
F1067,Acne Face Clean-Up,WOMEN,1,0,690,760,0,999721,Nos,GST18,inclusive,0,service,CLEAN UP (FEMALE),,,,,,,
F1068,Skin Lightning Face Clean-Up,WOMEN,1,0,690,760,0,999721,Nos,GST18,inclusive,0,service,CLEAN UP (FEMALE),,,,,,,
F1069,Fruit Secret Facial,WOMEN,1,0,865,960,0,999721,Nos,GST18,inclusive,0,service,FACIAL FOR DEHYDRATION(FEMALE),,,,,,,
F1070,Gold Facial,WOMEN,1,0,1400,1540,0,999721,Nos,GST18,inclusive,0,service,FACIAL FOR DEHYDRATION(FEMALE),,,,,,,
F1071,Insta Whitening Facial,WOMEN,1,0,3500,4050,0,999721,Nos,GST18,inclusive,0,service,FACIAL FOR DEHYDRATION(FEMALE),,,,,,,
F1072,Oxygen Facial-without eye treament,WOMEN,1,0,3600,4150,0,999721,Nos,GST18,inclusive,0,service,FACIAL FOR DEHYDRATION(FEMALE),,,,,,,
F1073,Oxygen Facial-with eye treament,WOMEN,1,0,3900,4485,0,999721,Nos,GST18,inclusive,0,service,FACIAL FOR DEHYDRATION(FEMALE),,,,,,,
F1074,Herbal secrets Facial,WOMEN,1,0,955,1060,0,999721,Nos,GST18,inclusive,0,service,FACIALS FOR FINE LINES/WRINKLES(FEMALE),,,,,,,
F1075,Four layers Anti-Agening Facial,WOMEN,1,0,2600,2800,0,999721,Nos,GST18,inclusive,0,service,FACIALS FOR FINE LINES/WRINKLES(FEMALE),,,,,,,
F1076,24 Karat Gold Facial,WOMEN,1,0,2575,3080,0,999721,Nos,GST18,inclusive,0,service,FACIALS FOR FINE LINES/WRINKLES(FEMALE),,,,,,,
F1077,24 Karat Gold - Ultime Facial (double mask),WOMEN,1,0,3560,4200,0,999721,Nos,GST18,inclusive,0,service,FACIALS FOR FINE LINES/WRINKLES(FEMALE),,,,,,,
F1078,Aroma Skin Lightening Facial,WOMEN,1,0,1300,1500,0,999721,Nos,GST18,inclusive,0,service,FACIAL FOR LIGHTENING(FEMALE),,,,,,,
F1079,Fair Bloom Facial,WOMEN,1,0,1850,2100,0,999721,Nos,GST18,inclusive,0,service,FACIAL FOR LIGHTENING(FEMALE),,,,,,,
F1080,Skin Lightening Advance Facial,WOMEN,1,0,2800,3100,0,999721,Nos,GST18,inclusive,0,service,FACIAL FOR LIGHTENING(FEMALE),,,,,,,
F1081,Skin Brightening Facial,WOMEN,1,0,2100,2550,0,999721,Nos,GST18,inclusive,0,service,FACIALS FOR PIGMENTATION&DARK SPOTS(FEMALE),,,,,,,
F1082,Platinum Glow  Facial,WOMEN,1,0,2200,2700,0,999721,Nos,GST18,inclusive,0,service,FACIALS FOR PIGMENTATION&DARK SPOTS(FEMALE),,,,,,,
F1083,Burberry Facial,WOMEN,1,0,2400,2900,0,999721,Nos,GST18,inclusive,0,service,FACIALS FOR PIGMENTATION&DARK SPOTS(FEMALE),,,,,,,
F1084,Face &Neck,WOMEN,1,0,500,550,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1085,Face Neck & blouseline,WOMEN,1,0,625,710,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1086,Under Arms,WOMEN,1,0,180,200,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1087,Half  Arms,WOMEN,1,0,500,550,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1088,Full Arms,WOMEN,1,0,800,895,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1089,Half legs,WOMEN,1,0,550,625,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1090,Full legs,WOMEN,1,0,950,1050,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1091,Feet,WOMEN,1,0,430,480,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
F1092,Midriff,WOMEN,1,0,245,275,0,999721,Nos,GST18,inclusive,0,service,DETAN(FEMALE),,,,,,,
