Code,Name,Category Code,Unit,Cost,Member Price,Non Member Price,Alert Quantity,HSN/SAC,Pers, Tax Rate Name,Tax Method,track quantit,type,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
M20053,Retemin -C  facial,MEN,1,0,2900,3500,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20054,24 karat gold - utime facial ,MEN,1,0,3560,4220,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20055,Face &Neck,MEN,1,0,500,550,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
M20056,Half arms,MEN,1,0,500,550,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
M20057,Full arms,MEN,1,0,800,895,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
M20058,Half Legs,MEN,1,0,550,625,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
M20059,Full legs,MEN,1,0,950,1050,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
M20060,Full Body,MEN,1,0,3300,3700,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
M20061,Face,MEN,1,0,190,220,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
M20062,Neck,MEN,1,0,190,220,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
M20063,Feet ,MEN,1,0,200,250,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
M20064,"Cut ,File ",MEN,1,0,150,180,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20065,Regular pedicure ,MEN,1,0,490,575,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20066,Paraffin pedicure,MEN,1,0,600,715,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20067,Chocolate foot spa,MEN,1,0,775,915,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20068,Crystal crush pedicure,MEN,1,0,800,950,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20069,Ice cream signature pedicure ,MEN,1,0,1100,1280,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20070,Heel-Peel Treatment,MEN,1,0,2150,2550,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20071,Regular manicure,MEN,1,0,360,400,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20072,Paraffin Manicure,MEN,1,0,430,470,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20073,Crystal crush manicure,MEN,1,0,800,950,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20074,Chocolate SPA Manicure,MEN,1,0,775,915,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20075,Ice cream signature manicure,MEN,1,0,1100,1280,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20076,Back & Neck ,MEN,1,0,590,655,0,,Nos,GST18,inclusive,0,service,REFLEXOLOGY,,,,,,,
M20077,Full Hand ,MEN,1,0,365,405,0,,Nos,GST18,inclusive,0,service,REFLEXOLOGY,,,,,,,
M20078,Half Legs,MEN,1,0,550,605,0,,Nos,GST18,inclusive,0,service,REFLEXOLOGY,,,,,,,
M20079,Feet ,MEN,1,0,300,350,0,,Nos,GST18,inclusive,0,service,REFLEXOLOGY,,,,,,,
M20080,Body Polish,MEN,1,0,3600,4000,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20081,Body Wrap,MEN,1,0,1620,1800,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20082,Full Arms Polish,MEN,1,0,900,1055,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20083,Full Back Polish,MEN,1,0,950,1100,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20084,De-Tan facial,MEN,1,0,1700,2000,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20089,24 karat gold -Utime facial ,MEN,1,0,3560,4220,0,,Nos,GST18,inclusive,0,service,,,,,,,,
M20090,Shampoo Wash & conditioning,MEN,1,0,100,120,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200001,Trendy kid cut,WOMEN,1,0,200,260,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200002,Hair makeover,WOMEN,1,0,440,535,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200003,Haircut-basic (with shampoo.Conditioner&BlastDry),WOMEN,1,0,455,495,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200004,Haircut-Advanced (with shampoo.Conditioner&BlowStyling),WOMEN,1,0,650,750,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200005,Creative Hair cut (with shampoo.Conditioner&BlowStyling),WOMEN,1,0,830,950,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200006,Shampoo  and Conditioning&styling-S,WOMEN,1,0,295,330,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200007,Shampoo  and Conditioning&styling-M,WOMEN,1,0,295,330,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200008,Shampoo  and Conditioning&styling-L,WOMEN,1,0,390,450,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200009,BlowStyleSetting-S (with shampoo.Conditioner),WOMEN,1,0,530,585,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200010,BlowStyleSetting-M(with shampoo.Conditioner),WOMEN,1,0,530,585,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200011,BlowStyleSetting-L (with shampoo.Conditioner),WOMEN,1,0,640,700,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200012,Ironing-S,WOMEN,1,0,800,900,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200013,Ironing-M,WOMEN,1,0,950,1050,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200014,Ironing-L,WOMEN,1,0,1150,1250,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200015,Roller Setting,WOMEN,1,0,1050,1200,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200016,coconut nourisher,WOMEN,1,0,520,595,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200017,Menthol chiller,WOMEN,1,0,520,595,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200018,Almond indugence,WOMEN,1,0,550,630,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200019,Olive Bliss,WOMEN,1,0,550,630,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200020,Anti-Dandruff Treatment-S,WOMEN,1,0,1100,1320,0,,Nos,GST18,inclusive,0,service,SCALP TREATMENTS,,,,,,,
F200021,Anti-Dandruff Treatment-M,WOMEN,1,0,1375,1650,0,,Nos,GST18,inclusive,0,service,SCALP TREATMENTS,,,,,,,
F200022,Anti-Dandruff Treatment-L,WOMEN,1,0,1650,1980,0,,Nos,GST18,inclusive,0,service,SCALP TREATMENTS,,,,,,,
F200023,Nutritive Plus Treatment - Normal to Dull Hair-S,WOMEN,1,0,1000,1245,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200024,Nutritive Plus Treatment - Normal to Dull Hair-M,WOMEN,1,0,1200,1445,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200025,Nutritive Plus Treatment - Normal to Dull Hair-L,WOMEN,1,0,1450,1695,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200026,Peptide Nourishing Treatment - Dry to Damaged Hair-S,WOMEN,1,0,1000,1245,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200027,Peptide Nourishing Treatment - Dry to Damaged Hair-M,WOMEN,1,0,1200,1445,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200028,Peptide Nourishing Treatment - Dry to Damaged Hair-L,WOMEN,1,0,1450,1695,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200029,Intense smoothening Plus - Treatment-S,WOMEN,1,0,1000,1245,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200030,Intense smoothening Plus - Treatment-M,WOMEN,1,0,1200,1445,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200031,Intense smoothening Plus - Treatment-L,WOMEN,1,0,1450,1695,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200032,Colour Radiance Plus - Treatment-S,WOMEN,1,0,1000,1245,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200033,Colour Radiance Plus - Treatment-M,WOMEN,1,0,1200,1445,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200034,Colour Radiance Plus - Treatment-L,WOMEN,1,0,1450,1695,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200035,Anti-Breakage Strengthening plus - Treatment-S,WOMEN,1,0,1000,1245,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200036,Anti-Breakage Strengthening plus - Treatment-M,WOMEN,1,0,1200,1445,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200037,Anti-Breakage Strengthening plus - Treatment-L,WOMEN,1,0,1450,1695,0,,Nos,GST18,inclusive,0,service,Hair Treatment,,,,,,,
F200038,Nutritive Plus Treatment - Normal to Dull Hair-S,WOMEN,1,0,1500,1745,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200039,Nutritive Plus Treatment - Normal to Dull Hair-M,WOMEN,1,0,1700,1945,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200040,Nutritive Plus Treatment - Normal to Dull Hair-L,WOMEN,1,0,2050,2295,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200041,Peptide Nourishing Treatment - Dry to Damaged Hair-S,WOMEN,1,0,1500,1745,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200042,Peptide Nourishing Treatment - Dry to Damaged Hair-M,WOMEN,1,0,1700,1945,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200043,Peptide Nourishing Treatment - Dry to Damaged Hair-L,WOMEN,1,0,2050,2295,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200044,Intense smoothening Plus - Treatment-S,WOMEN,1,0,1500,1745,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200045,Intense smoothening Plus - Treatment-M,WOMEN,1,0,1700,1945,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200046,Intense smoothening Plus - Treatment-L,WOMEN,1,0,2050,2295,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200047,Colour Radiance Plus - Treatment-S,WOMEN,1,0,1500,1745,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200048,Colour Radiance Plus - Treatment-M,WOMEN,1,0,1700,1945,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200049,Colour Radiance Plus - Treatment-L,WOMEN,1,0,2050,2295,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200050,Anti-Breakage Strengthening plus - Treatment-S,WOMEN,1,0,1500,1745,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200051,Anti-Breakage Strengthening plus - Treatment-M,WOMEN,1,0,1700,1945,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200052,Anti-Breakage Strengthening plus - Treatment-L,WOMEN,1,0,2050,2295,0,,Nos,GST18,inclusive,0,service,Hair&Scalp Treatment,,,,,,,
F200053,GLOBAL COLOURING-S,WOMEN,1,0,1755,1935,0,,Nos,GST18,inclusive,0,service,HAIR COLOURING,,,,,,,
F200054,GLOBAL COLOURING-M,WOMEN,1,0,2745,3025,0,,Nos,GST18,inclusive,0,service,HAIR COLOURING,,,,,,,
F200055,GLOBAL COLOURING-L,WOMEN,1,0,3685,4060,0,,Nos,GST18,inclusive,0,service,HAIR COLOURING,,,,,,,
F200056,ROOT TOUCH-UP[REGULAR](max1.5inch),WOMEN,1,0,1040,1150,0,,Nos,GST18,inclusive,0,service,HAIR COLOURING,,,,,,,
F200057,PREMIUM COLOURING [GLOBAL]-S,WOMEN,1,0,2735,3250,0,,Nos,GST18,inclusive,0,service,PREMIUM HAIR COLOURING AMMONIA FREE,,,,,,,
F200058,PREMIUM COLOURING [GLOBAL]-M,WOMEN,1,0,3435,3975,0,,Nos,GST18,inclusive,0,service,PREMIUM HAIR COLOURING AMMONIA FREE,,,,,,,
F200059,PREMIUM COLOURING [GLOBAL]-L,WOMEN,1,0,4135,5025,0,,Nos,GST18,inclusive,0,service,PREMIUM HAIR COLOURING AMMONIA FREE,,,,,,,
F200060,ROOT TOUCH-UP[max-1.5 inch],WOMEN,1,0,1265,1430,0,,Nos,GST18,inclusive,0,service,PREMIUM HAIR COLOURING AMMONIA FREE,,,,,,,
F200061,STREAKS-PER- STREAKS,WOMEN,1,0,305,355,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200062,ADVANCED STREAKS -PRE STREAKS[INCLUES PRE-LIGHTENING],WOMEN,1,0,520,595,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200063,PREMIUM STRAIGHTENIG/SMOOTHENING-S,WOMEN,1,0,4920,5680,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200064,PREMIUM STRAIGHTENIG/SMOOTHENING-M,WOMEN,1,0,7260,8360,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200065,PREMIUM STRAIGHTENIG/SMOOTHENING-L,WOMEN,1,0,9535,11235,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200066,PREMIUM REBONDING-S,WOMEN,1,0,7565,8705,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200067,PREMIUM REBONDING-M,WOMEN,1,0,9535,10975,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200068,PREMIUM REBONDING-L,WOMEN,1,0,12560,14380,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200069,Herbal Face Clean up,WOMEN,1,0,575,645,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200070,Acne Face Clean-Up,WOMEN,1,0,690,760,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200071,Skin Lightning Face clean up,WOMEN,1,0,690,760,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200072,Aroma skin Lightening Facial,WOMEN,1,0,1300,1500,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200073,Fair bloom Fcial,WOMEN,1,0,1580,1900,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200074,Skin Lightening Advance Facial,WOMEN,1,0,2500,2900,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200075,Platinum Glow  Facial,WOMEN,1,0,2000,2400,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200076,Skin Brightening Facial,WOMEN,1,0,2100,2550,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200077,Burrberry Facial,WOMEN,1,0,2400,2900,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200078,Fruit Secret Facial,WOMEN,1,0,865,960,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200079,Gold Facial,WOMEN,1,0,1400,1540,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200080,O2C2 Dermalite facial  ,WOMEN,1,0,3250,3900,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200081,O2C2 Radiance facial                 ,WOMEN,1,0,3250,2900,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200082,Acne Treatment,WOMEN,1,0,2100,2350,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200083,Herbal secrets facial,WOMEN,1,0,955,1060,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200084,Four layers Anti-Agening Facial,WOMEN,1,0,2600,2800,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200085,Retemin -C  facial,WOMEN,1,0,2900,3500,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200086,24 karat gold - utime facial,WOMEN,1,0,3560,4220,0,,Nos,GST18,inclusive,0,service,,,,,,,,
F200087,Face &Neck,WOMEN,1,0,500,550,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200088,Face Neck & blouseline,WOMEN,1,0,625,710,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200089,Under Arms,WOMEN,1,0,180,200,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200090,Half  Arms,WOMEN,1,0,500,550,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200091,Full Arms,WOMEN,1,0,800,895,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200092,Half legs,WOMEN,1,0,550,625,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200093,Full legs,WOMEN,1,0,950,1050,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200094,Feet,WOMEN,1,0,380,430,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200095,Midriff,WOMEN,1,0,245,275,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200096,Half Back[or]Front,WOMEN,1,0,430,550,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200097,Full Back [or]Front,WOMEN,1,0,600,700,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200098,Full body ,WOMEN,1,0,3300,3700,0,,Nos,GST18,inclusive,0,service,DATAN,,,,,,,
F200099,Face &Neck,WOMEN,1,0,380,440,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200100,Face Neck & blouseline,WOMEN,1,0,445,505,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200101,upper lip,WOMEN,1,0,55,70,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200102,Under Arms,WOMEN,1,0,140,155,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200103,Half  Arms,WOMEN,1,0,215,250,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200104,Full Arms,WOMEN,1,0,430,480,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200105,Half legs,WOMEN,1,0,425,475,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200106,Full legs,WOMEN,1,0,705,780,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200107,Feet,WOMEN,1,0,200,250,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200108,Midriff,WOMEN,1,0,290,330,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200109,Half Back[or]Front,WOMEN,1,0,300,500,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200110,Full Back [or]Front,WOMEN,1,0,500,600,0,,Nos,GST18,inclusive,0,service,BLEACH,,,,,,,
F200111,Eyebrow,WOMEN,1,0,40,55,0,,Nos,GST18,inclusive,0,service,THREADING,,,,,,,
F200112,Upperlip,WOMEN,1,0,40,55,0,,Nos,GST18,inclusive,0,service,THREADING,,,,,,,
F200113,Lowerlip,WOMEN,1,0,40,55,0,,Nos,GST18,inclusive,0,service,THREADING,,,,,,,
F200114,Forehead,WOMEN,1,0,45,65,0,,Nos,GST18,inclusive,0,service,THREADING,,,,,,,
F200115,Cheek,WOMEN,1,0,60,75,0,,Nos,GST18,inclusive,0,service,THREADING,,,,,,,
F200116,Chin,WOMEN,1,0,45,65,0,,Nos,GST18,inclusive,0,service,THREADING,,,,,,,
F200117,Chin with Heavy Growth,WOMEN,1,0,55,75,0,,Nos,GST18,inclusive,0,service,THREADING,,,,,,,
F200118,Sides,WOMEN,1,0,100,125,0,,Nos,GST18,inclusive,0,service,THREADING,,,,,,,
F200119,Full face,WOMEN,1,0,250,300,0,,Nos,GST18,inclusive,0,service,THREADING,,,,,,,
F200120,Full face,WOMEN,1,0,300,350,0,,Nos,GST18,inclusive,0,service,CLASSIC WAXING,,,,,,,
F200121,Half arms,WOMEN,1,0,200,235,0,,Nos,GST18,inclusive,0,service,CLASSIC WAXING,,,,,,,
F200122,Full arms,WOMEN,1,0,250,295,0,,Nos,GST18,inclusive,0,service,CLASSIC WAXING,,,,,,,
