Code,Name,Category Code,Unit,Cost,member price,non member,Alert Quantity,HSN/SAC,Pers, Tax Rate Name,Tax Method,,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
F200015,Roller Setting,WOMEN,1,0,1050,1200,0,,Nos,GST18,exclusive,,,,,,,,
F200016,coconut nourisher,WOMEN,1,0,520,595,0,,Nos,GST18,exclusive,,,,,,,,
F200017,Menthol chiller,WOMEN,1,0,520,595,0,,Nos,GST18,exclusive,,,,,,,,
F200018,Almond indugence,WOMEN,1,0,550,630,0,,Nos,GST18,exclusive,,,,,,,,
F200019,Olive Bliss,WOMEN,1,0,550,630,0,,Nos,GST18,exclusive,,,,,,,,
F200020,Anti-Dandruff Treatment-S,WOMEN,1,0,1100,1320,0,,Nos,GST18,exclusive,,,,,,,,
F200021,Anti-Dandruff Treatment-M,WOMEN,1,0,1375,1650,0,,Nos,GST18,exclusive,,,,,,,,
F200022,Anti-Dandruff Treatment-L,WOMEN,1,0,1650,1980,0,,Nos,GST18,exclusive,,,,,,,,
F200023,Nutritive Plus Treatment - Normal to Dull Hair-S,WOMEN,1,0,1000,1245,0,,Nos,GST18,exclusive,,,,,,,,
F200024,Nutritive Plus Treatment - Normal to Dull Hair-M,WOMEN,1,0,1200,1445,0,,Nos,GST18,exclusive,,,,,,,,
F200025,Nutritive Plus Treatment - Normal to Dull Hair-L,WOMEN,1,0,1450,1695,0,,Nos,GST18,exclusive,,,,,,,,
F200026,Peptide Nourishing Treatment - Dry to Damaged Hair-S,WOMEN,1,0,1000,1245,0,,Nos,GST18,exclusive,,,,,,,,
F200027,Peptide Nourishing Treatment - Dry to Damaged Hair-M,WOMEN,1,0,1200,1445,0,,Nos,GST18,exclusive,,,,,,,,
F200028,Peptide Nourishing Treatment - Dry to Damaged Hair-L,WOMEN,1,0,1450,1695,0,,Nos,GST18,exclusive,,,,,,,,
F200029,Intense smoothening Plus - Treatment-S,WOMEN,1,0,1000,1245,0,,Nos,GST18,exclusive,,,,,,,,
